event,event_time,symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,last_qty,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,open_price,high_price,low_price,base_volume,quote_volume,open_time,close_time,first_trade_id,last_trade_id,trade_count
24hrTicker,2025-06-10T15:40:44.795+07:00,SOLUSDT,7.21,4.775,156.95891748,151.01,158.22,4.262,158.21,25.961,158.22,1026.835,151.01,161.82,151.01,3229198.419,5.0685148818188E8,2025-06-09T15:40:44.791+07:00,2025-06-10T15:40:44.791+07:00,1324971710,1326974892,2003183
24hrTicker,2025-06-10T15:40:45.801+07:00,SOLUSDT,7.2,4.768,156.95898297,151.01,158.21,0.05,158.21,154.187,158.22,1048.734,151.01,161.82,151.01,3229164.244,5.0684633556914E8,2025-06-09T15:40:45.783+07:00,2025-06-10T15:40:45.783+07:00,1324971729,1326974895,2003167
24hrTicker,2025-06-10T15:40:46.801+07:00,SOLUSDT,7.19,4.761,156.95907218,151.04,158.22,1.264,158.21,21.641,158.22,1064.514,151.03,161.82,151.03,3229118.246,5.0683940385246E8,2025-06-09T15:40:46.786+07:00,2025-06-10T15:40:46.786+07:00,1324971818,1326974899,2003082
24hrTicker,2025-06-10T15:40:47.795+07:00,SOLUSDT,7.18,4.754,156.9590722,151.04,158.21,0.05,158.21,21.591,158.22,1064.833,151.03,161.82,151.03,3229118.296,5.0683941176296E8,2025-06-09T15:40:47.725+07:00,2025-06-10T15:40:47.725+07:00,1324971818,1326974901,2003084
24hrTicker,2025-06-10T15:40:48.795+07:00,SOLUSDT,7.17,4.747,156.95907344,151.04,158.2,0.05,158.2,185.172,158.21,809.939,151.03,161.82,151.03,3229121.51,5.068399202494E8,2025-06-09T15:40:48.786+07:00,2025-06-10T15:40:48.786+07:00,1324971818,1326974935,2003118
24hrTicker,2025-06-10T15:40:49.801+07:00,SOLUSDT,7.16,4.74,156.95911076,151.03,158.2,0.1,158.2,111.736,158.21,873.118,151.04,161.82,151.03,3229101.249,5.0683686058907E8,2025-06-09T15:40:49.764+07:00,2025-06-10T15:40:49.764+07:00,1324971820,1326974937,2003118
24hrTicker,2025-06-10T15:40:50.795+07:00,SOLUSDT,7.17,4.747,156.95911144,151.03,158.21,1.721,158.2,149.135,158.21,808.559,151.04,161.82,151.03,3229103.02,5.0683714077848E8,2025-06-09T15:40:50.779+07:00,2025-06-10T15:40:50.779+07:00,1324971820,1326974940,2003121
24hrTicker,2025-06-10T15:40:51.795+07:00,SOLUSDT,7.16,4.74,156.95911204,151.03,158.2,0.237,158.2,161.368,158.21,847.298,151.04,161.82,151.03,3229104.56,5.0683738441951E8,2025-06-09T15:40:51.772+07:00,2025-06-10T15:40:51.772+07:00,1324971820,1326974945,2003126
24hrTicker,2025-06-10T15:40:52.801+07:00,SOLUSDT,7.16,4.74,156.95912772,151.03,158.2,38.984,158.19,287.808,158.2,865.836,151.04,161.82,151.04,3229142.877,5.068434492487E8,2025-06-09T15:40:52.781+07:00,2025-06-10T15:40:52.781+07:00,1324971822,1326974982,2003161
24hrTicker,2025-06-10T15:40:53.795+07:00,SOLUSDT,7.15,4.734,156.95912776,151.03,158.19,0.1,158.19,52.868,158.2,1013.123,151.04,161.82,151.04,3229142.977,5.068434650677E8,2025-06-09T15:40:53.780+07:00,2025-06-10T15:40:53.780+07:00,1324971822,1326974986,2003165
24hrTicker,2025-06-10T15:40:54.795+07:00,SOLUSDT,7.15,4.734,156.95912777,151.03,158.19,0.15,158.19,52.818,158.2,1016.701,151.04,161.82,151.04,3229143.027,5.068434729772E8,2025-06-09T15:40:54.792+07:00,2025-06-10T15:40:54.792+07:00,1324971822,1326974988,2003167
24hrTicker,2025-06-10T15:40:55.800+07:00,SOLUSDT,7.12,4.713,156.95936395,151.06,158.19,0.2,158.19,72.956,158.2,977.717,151.07,161.82,151.07,3229014.136,5.0682400496235E8,2025-06-09T15:40:55.794+07:00,2025-06-10T15:40:55.794+07:00,1324971968,1326974991,2003024
